step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
78,0,2729,2729,1,44695848,2.959,3.032,64.290,8.048,55.897,0.052,49.768,2.785,117.145,128.500
79,0,2729,2729,1,44695848,24.485,3.094,65.466,65.155,56.792,0.054,70.136,6.682,138.753,179.336
80,0,2729,2729,1,44695848,2.956,3.084,64.129,63.860,55.762,0.043,72.881,6.918,140.137,160.017
81,0,2729,2729,1,44695848,2.651,2.824,65.447,65.165,57.117,0.053,72.616,7.625,140.942,161.493
82,0,2729,2729,1,44695848,24.603,3.123,64.665,64.387,59.112,0.044,73.019,7.616,140.854,182.771
83,0,2729,2729,1,44695848,2.633,2.834,65.046,8.066,56.779,0.056,73.192,6.642,141.131,160.342
84,0,2729,2729,1,44695848,2.657,2.864,64.780,8.048,56.390,0.045,51.178,2.856,118.870,129.782
85,0,2729,2729,1,44695848,2.976,3.093,64.523,8.321,56.040,0.041,69.238,6.782,136.898,156.587
86,0,2729,2729,1,44695848,2.612,2.832,64.032,63.707,58.400,0.054,49.192,2.762,116.113,126.957
87,0,2729,2729,1,44695848,2.964,3.085,64.048,7.822,56.105,0.052,70.132,6.892,137.319,157.197
88,0,2729,2729,1,44695848,2.636,2.807,64.006,63.677,57.765,0.043,49.361,3.014,116.219,127.365
89,0,2729,2729,1,44695848,2.643,2.810,65.005,8.198,56.660,0.041,22.646,3.136,90.504,101.453
90,0,2729,2729,1,44695848,2.625,2.838,64.682,8.321,56.196,0.040,70.741,7.900,138.303,159.416
91,0,2729,2729,1,44695848,2.634,2.833,65.268,8.183,56.745,0.044,72.366,7.887,140.514,161.370
92,0,2729,2729,1,44695848,2.989,3.021,64.565,8.056,56.313,0.051,71.595,8.271,139.234,161.077
93,0,2729,2729,1,44695848,2.991,3.100,64.996,8.276,56.568,0.050,71.644,7.919,139.793,161.659
94,0,2729,2729,1,44695848,2.979,3.081,64.807,8.063,56.576,0.050,71.627,7.859,139.568,161.305
95,0,2729,2729,1,44695848,24.433,3.102,65.290,7.933,57.002,0.050,71.381,7.786,139.826,182.062
96,0,2729,2729,1,44695848,24.440,3.115,65.061,8.039,56.884,0.053,71.217,7.667,139.449,181.135
97,0,2729,2729,1,44695848,24.310,3.132,65.258,7.660,57.265,0.045,73.020,7.963,141.456,183.604
98,0,2729,2729,1,44695848,24.373,3.135,65.160,8.294,56.731,0.044,71.553,7.878,139.895,181.828
99,0,2729,2729,1,44695848,2.959,3.047,65.212,64.915,56.824,0.040,70.942,8.905,139.243,161.725
100,0,2729,2729,1,44695848,24.346,3.136,64.722,64.452,56.636,0.056,70.703,8.234,138.619,181.378
101,0,2729,2729,1,44695848,24.592,3.101,64.965,64.619,56.530,0.048,70.613,8.001,138.729,181.341
102,0,2729,2729,1,44695848,2.969,3.123,64.347,64.089,56.045,0.041,18.926,3.334,86.438,97.888
103,0,2729,2729,1,44695848,23.623,2.757,65.165,8.058,56.963,0.051,69.881,6.963,137.857,178.262
104,0,2729,2729,1,44695848,2.650,2.821,64.608,8.290,58.172,0.043,70.312,6.941,137.785,157.487
105,0,2729,2729,1,44695848,2.623,2.792,64.613,64.329,58.088,0.045,18.306,2.874,85.757,96.391
106,0,2729,2729,1,44695848,23.683,2.793,64.950,7.780,56.816,0.042,69.826,6.931,137.614,178.247
