step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
81,0,2729,2680,3,44695848,24.006,3.336,65.765,8.084,57.459,1.136,70.979,7.006,141.218,181.901
82,0,2729,2676,3,44695848,24.522,3.079,111.407,111.069,103.304,1.497,68.702,8.280,184.687,226.892
83,0,2729,2675,3,44695848,2.592,3.079,327.988,327.677,322.052,1.556,68.439,8.168,401.065,422.365
84,0,2729,2675,3,44695848,2.583,3.082,197.429,197.093,189.050,1.157,69.326,8.388,270.996,291.946
85,0,2729,2676,3,44695848,2.588,3.100,393.172,392.854,387.237,1.522,45.806,2.737,443.602,454.231
86,0,2729,2675,3,44695848,2.600,3.073,224.637,224.291,219.134,1.158,68.609,8.435,297.480,318.528
87,0,2729,2676,3,44695848,23.330,3.018,203.256,202.942,195.195,1.172,67.689,8.422,275.135,316.993
88,0,2729,2675,3,44695848,2.605,3.110,397.404,397.041,389.294,1.151,45.445,2.738,447.113,457.802
89,0,2729,2676,3,44695848,2.579,3.032,519.450,519.071,511.052,1.390,67.797,8.545,591.672,612.847
90,0,2729,2677,3,44695848,24.095,3.419,64.742,64.402,59.268,1.183,69.413,6.989,138.759,179.499
91,0,2729,2678,3,44695848,25.203,3.394,63.674,63.375,55.117,1.154,67.743,8.346,135.968,179.093
92,0,2729,2675,3,44695848,2.937,3.290,203.595,203.233,198.140,1.163,69.246,8.131,277.298,298.404
93,0,2729,2675,3,44695848,23.835,2.994,105.022,104.754,96.821,1.154,68.635,8.510,177.806,220.072
94,0,2729,2675,3,44695848,24.072,3.389,64.338,64.070,57.811,1.161,68.876,6.926,137.767,178.662
95,0,2729,2676,3,44695848,2.584,3.026,64.995,8.010,56.644,1.139,69.617,6.914,138.779,158.578
96,0,2729,2675,3,44695848,2.951,3.314,134.302,133.953,126.200,1.164,69.273,8.444,208.054,229.811
97,0,2729,2678,3,44695848,23.737,3.038,64.445,7.767,56.538,1.158,70.665,6.889,139.307,179.696
98,0,2729,2676,3,44695848,24.196,3.074,114.222,113.878,105.880,1.180,68.625,8.295,187.103,229.190
99,0,2729,2687,3,44695848,24.034,3.330,65.817,8.379,57.288,1.404,70.819,6.886,141.373,181.986
100,0,2729,2687,3,44695848,24.039,3.382,64.783,7.744,56.695,1.141,69.214,6.884,138.521,179.360
101,0,2729,2675,3,44695848,2.610,2.985,67.866,67.552,59.726,1.140,68.610,8.262,140.603,161.579
102,0,2729,2675,3,44695848,24.153,3.058,284.592,284.214,276.006,1.298,68.539,8.167,357.490,399.425
103,0,2729,2676,3,44695848,2.613,3.006,203.576,203.236,195.476,1.212,68.925,8.288,276.720,297.636
104,0,2729,2676,3,44695848,24.124,3.089,111.536,111.143,102.943,1.242,68.545,8.345,184.414,226.554
105,0,2729,2675,3,44695848,2.600,3.010,282.849,282.480,277.379,1.416,69.026,8.272,356.302,377.186
106,0,2729,2679,3,44695848,23.481,3.036,64.988,7.786,56.838,1.525,68.972,6.951,138.524,178.855
107,0,2729,2676,3,44695848,2.629,3.065,85.128,84.815,77.044,1.280,69.045,8.301,158.520,179.490
108,0,2729,2675,3,44695848,2.614,3.059,94.928,94.600,86.724,1.143,69.280,8.270,168.412,189.730
109,0,2729,2680,3,44695848,23.697,3.318,64.523,34.880,59.044,1.129,70.521,6.880,139.493,179.805
110,0,2729,2682,3,44695848,2.591,3.084,65.006,8.075,56.585,1.120,68.001,6.710,137.213,156.362
111,0,2729,2688,3,44695848,2.594,3.025,65.546,65.265,58.003,1.146,70.142,6.871,139.861,159.599
112,0,2729,2675,3,44695848,2.933,3.371,64.475,8.044,56.260,1.186,68.686,6.942,137.720,158.271
113,0,2729,2683,3,44695848,2.594,3.037,64.852,8.259,56.448,1.143,67.915,6.756,136.949,156.163
114,0,2729,2684,3,44695848,24.500,3.419,65.199,64.932,56.788,1.127,71.029,6.940,140.776,182.061
115,0,2729,2675,3,44695848,2.627,3.032,82.502,82.163,74.099,1.186,69.761,7.932,156.483,177.975
116,0,2729,2684,3,44695848,23.548,3.051,65.730,7.995,57.360,1.141,68.359,6.967,138.283,178.719
117,0,2729,2686,3,44695848,2.583,3.048,65.423,8.431,56.654,1.135,69.476,6.906,139.084,158.791
118,0,2729,2681,3,44695848,23.819,3.085,65.425,8.209,56.857,1.160,68.720,6.971,138.391,179.129
119,0,2729,2680,3,44695848,2.592,3.025,65.116,8.431,56.529,1.144,45.284,2.779,114.570,125.287
120,0,2729,2689,3,44695848,2.611,3.049,65.262,64.954,59.675,1.132,69.296,7.003,138.742,159.271
121,0,2729,2675,3,44695848,2.616,3.136,101.157,100.832,92.980,1.165,69.062,8.120,174.522,195.551
122,0,2729,2675,3,44695848,2.592,3.065,163.883,163.604,155.478,1.151,69.345,8.379,237.446,259.063
123,0,2729,2676,3,44695848,2.953,3.244,197.330,196.997,189.018,1.317,68.993,8.214,270.885,292.911
124,0,2729,2675,3,44695848,23.880,3.087,353.839,353.467,345.558,1.476,70.220,7.796,428.625,470.425
125,0,2729,2687,3,44695848,2.587,3.026,64.929,8.327,56.471,1.123,69.908,6.936,138.989,158.987
126,0,2729,2675,3,44695848,2.602,3.090,185.241,184.870,176.908,1.187,68.929,8.331,258.450,279.642
127,0,2729,2675,3,44695848,23.753,2.974,136.525,136.222,128.241,1.284,69.713,7.689,210.498,253.417
128,0,2729,2675,3,44695848,2.589,3.115,236.218,235.935,227.993,1.247,45.046,2.741,285.629,296.403
129,0,2729,2678,3,44695848,23.604,3.029,65.066,64.791,56.600,1.179,69.558,6.929,138.834,179.576
130,0,2729,2675,3,44695848,24.160,3.058,109.291,108.972,100.968,1.253,70.398,7.794,184.002,226.170
131,0,2729,2676,3,44695848,2.615,3.046,196.915,196.605,188.638,1.176,45.132,2.717,246.271,256.963
132,0,2729,2676,3,44695848,2.663,3.095,74.429,74.057,66.263,1.166,69.171,8.540,147.863,169.656
133,0,2729,2675,3,44695848,24.250,3.041,70.403,70.081,61.883,1.154,68.488,8.534,143.087,185.676
134,0,2729,2676,3,44695848,2.596,3.089,228.840,228.566,220.605,1.140,69.305,8.069,302.377,323.227
135,0,2729,2675,3,44695848,2.543,3.072,430.207,429.845,421.811,1.183,69.267,8.192,503.732,524.937
136,0,2729,2676,3,44695848,2.575,3.105,500.399,500.041,492.002,1.422,69.501,7.729,574.429,595.564
