buf_mib,loss_pct,trial,mask_us,throughput_gibps
256,1,7,280.135,892.4268656183626
256,1,8,347.471,719.4845037427583
256,1,9,340.037,735.2141090528384
256,1,10,288.49,866.5811639918194
256,1,11,315.661,791.988874140296
256,1,12,312.806,799.2174063157356
256,1,13,318.476,784.9885077682463
256,1,14,349.274,715.7704266564359
256,1,15,314.91,793.8776158267441
256,1,16,322.354,775.544897845226
256,1,17,339.647,736.0583193727606
256,1,18,322.835,774.3893939628603
256,1,19,269.986,925.9739393894498
256,10,0,2960.616,84.44188641823187
256,10,1,3077.946,81.22299741450955
256,10,2,3062.647,81.62873488195015
256,10,3,2992.065,83.55433454821336
256,10,4,3008.646,83.09385683792644
256,10,5,3139.751,79.62414853916759
256,10,6,3098.765,80.67730208647639
256,10,7,3206.366,77.96988865276141
256,10,8,3089.167,80.9279653705999
256,10,9,3161.452,79.07758839925452
256,10,10,3128.27,79.91637550467192
256,10,11,3031.96,82.45491365321442
256,10,12,2972.549,84.10290292943867
256,10,13,3146.904,79.44316064296846
256,10,14,3172.202,78.80960922412886
256,10,15,2956.147,84.56954271895138
256,10,16,3098.895,80.67391763838401
256,10,17,2958.713,84.49619817805917
256,10,18,3096.381,80.73941804965216
256,10,19,3164.067,79.0122333060583
