step_seq,bucket_seq,n_chunks,recv_count,decision,nbytes,to_bytes_ms,stage_ms,threads_ms,send_ms,recv_ms,finalize_ms,average_ms,from_numpy_ms,total_ms,hook_total_ms
181,0,2729,2729,1,44695848,2.604,2.701,64.721,34.963,58.605,0.042,69.913,6.890,137.379,157.349
182,0,2729,2729,1,44695848,24.502,3.082,64.672,7.555,56.774,0.051,66.816,6.879,134.624,175.363
183,0,2729,2729,1,44695848,2.969,2.981,64.868,64.564,56.564,0.041,70.545,6.943,138.435,158.807
184,0,2729,2729,1,44695848,24.786,3.080,65.280,64.935,56.867,0.043,68.984,6.955,137.389,179.055
185,0,2729,2729,1,44695848,23.673,2.759,65.313,7.882,57.216,0.052,69.262,6.970,137.389,177.735
186,0,2729,2729,1,44695848,23.791,2.776,64.300,7.667,56.292,0.044,69.709,6.657,136.830,176.642
187,0,2729,2729,1,44695848,2.607,2.724,64.569,7.726,56.502,0.045,68.460,6.792,135.800,155.342
188,0,2729,2729,1,44695848,24.614,3.130,65.735,7.955,57.415,0.052,67.245,6.670,136.165,176.968
189,0,2729,2729,1,44695848,23.725,2.805,64.558,64.288,59.020,0.043,68.949,6.901,136.357,176.764
190,0,2729,2729,1,44695848,23.673,2.764,64.329,7.855,56.146,0.051,70.907,6.944,138.054,178.069
191,0,2729,2729,1,44695848,2.618,2.759,64.059,7.801,56.132,0.039,70.089,6.874,136.948,156.863
192,0,2729,2729,1,44695848,24.616,3.131,65.159,7.976,56.840,0.046,67.612,6.674,135.950,176.543
193,0,2729,2729,1,44695848,2.662,2.744,64.434,34.671,58.905,0.044,69.533,6.604,136.757,156.112
194,0,2729,2729,1,44695848,25.038,3.106,65.369,7.791,57.219,0.041,68.880,6.890,137.398,179.131
195,0,2729,2729,1,44695848,23.736,3.198,65.857,8.490,57.376,0.090,66.477,6.925,135.624,175.249
196,0,2729,2729,1,44695848,23.169,2.780,65.066,8.027,57.025,0.051,69.464,6.691,137.364,175.682
197,0,2729,2729,1,44695848,23.111,2.785,64.430,8.144,55.937,0.053,69.286,6.993,136.557,176.131
198,0,2729,2729,1,44695848,23.787,3.070,64.967,8.007,56.618,0.054,68.838,6.736,136.931,176.230
199,0,2729,2729,1,44695848,23.961,3.035,64.889,8.001,56.529,0.042,67.125,6.952,135.092,175.520
